Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
f027b535-46ff-43b9-946f-a9d1f014943c,"2020-03-25, 01:23:13 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,99.250.24.61
caa04eb2-8a7f-4307-b00a-7f572f1e65cf,"2020-03-25, 01:23:12 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAX54FRLOP2HA5JFWXA""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::545204034463:user/Accountant""}]",,us-east-1,,99.250.24.61
f90732cb-e9dd-49eb-887e-6f2451b7724b,"2020-03-25, 01:22:17 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,99.250.24.61
75141aa2-e8d3-45a4-8eec-bc60ab6597ef,"2020-03-25, 01:22:14 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAX54FRLOPZVL3IBA6N""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::545204034463:user/CloudTrail""}]",,us-east-1,,99.250.24.61
d6252944-5cc5-442a-84cf-25a0c0fa73fd,"2020-03-25, 01:22:14 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,99.250.24.61
9c440a95-30d6-4077-9ed2-60ae291c3de6,"2020-03-25, 01:19:54 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,99.250.24.61
9fcdcf47-0691-4a39-bbd6-c4e1a088cbce,"2020-03-25, 01:19:53 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAX54FRLOP4VEQ5BAF4""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::545204034463:group/Reviewers""}]",,us-east-1,,99.250.24.61
1b562743-96c9-418b-8a23-ca66ad5524dc,"2020-03-25, 01:19:10 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,99.250.24.61
a98c1eed-15b9-4046-b324-be1e8a6d0e8c,"2020-03-25, 01:19:10 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,99.250.24.61
c59a98b0-8499-41aa-9ee3-bf738cc98e73,"2020-03-25, 01:19:10 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::545204034463:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAX54FRLOPWAECJ4DIP""}]",,us-east-1,,99.250.24.61
fd42b44f-4dd4-4b79-ae47-d19780df3cde,"2020-03-25, 01:14:58 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,99.250.24.61
